timestamp,src_ip,dst_ip,protocol,port,bytes_sent,packets
2024-01-15 08:00:01,192.168.1.10,10.0.0.5,TCP,80,1200,8
2024-01-15 08:00:03,192.168.1.11,10.0.0.5,TCP,443,980,6
2024-01-15 08:00:05,192.168.1.12,10.0.0.8,UDP,53,200,2
2024-01-15 08:00:07,192.168.1.10,10.0.0.5,TCP,80,1100,7
2024-01-15 08:00:09,192.168.1.13,10.0.0.9,TCP,443,1300,9
2024-01-15 08:00:11,192.168.1.14,10.0.0.5,TCP,80,900,5
2024-01-15 08:00:13,192.168.1.15,10.0.0.6,UDP,53,150,2
2024-01-15 08:00:15,192.168.1.10,10.0.0.7,TCP,443,1050,7
2024-01-15 08:00:17,192.168.1.16,10.0.0.5,TCP,80,1250,8
2024-01-15 08:00:19,192.168.1.17,10.0.0.8,TCP,443,870,6
2024-01-15 08:00:21,192.168.1.18,10.0.0.5,TCP,80,1100,7
2024-01-15 08:00:23,192.168.1.19,10.0.0.9,UDP,53,180,2
2024-01-15 08:00:25,192.168.1.20,10.0.0.5,TCP,443,1400,9
2024-01-15 08:00:27,192.168.1.10,10.0.0.6,TCP,80,950,6
2024-01-15 08:00:29,192.168.1.21,10.0.0.7,TCP,443,1150,8
2024-01-15 08:00:31,10.5.5.5,192.168.1.10,TCP,22,85000,420
2024-01-15 08:00:33,192.168.1.22,10.0.0.5,TCP,80,1050,7
2024-01-15 08:00:35,192.168.1.23,10.0.0.8,UDP,53,200,2
2024-01-15 08:00:37,192.168.1.24,10.0.0.5,TCP,443,1200,8
2024-01-15 08:00:39,192.168.1.25,10.0.0.9,TCP,80,980,6
2024-01-15 08:00:41,172.16.0.1,10.0.0.5,UNKNOWN,4444,250000,1800
2024-01-15 08:00:43,192.168.1.26,10.0.0.5,TCP,443,1100,7
2024-01-15 08:00:45,192.168.1.27,10.0.0.6,TCP,80,900,6
2024-01-15 08:00:47,192.168.1.28,10.0.0.7,UDP,53,170,2
2024-01-15 08:00:49,192.168.1.29,10.0.0.8,TCP,443,1300,9
2024-01-15 08:00:51,192.168.1.30,10.0.0.5,TCP,80,1050,7
2024-01-15 08:00:53,10.10.10.10,192.168.1.0,TCP,3389,95000,500
2024-01-15 08:00:55,192.168.1.31,10.0.0.9,TCP,443,870,6
2024-01-15 08:00:57,192.168.1.32,10.0.0.5,TCP,80,1200,8
2024-01-15 08:00:59,192.168.1.33,10.0.0.6,UDP,53,190,2
2024-01-15 08:01:01,192.168.1.34,10.0.0.7,TCP,443,1150,8
2024-01-15 08:01:03,192.168.1.35,10.0.0.8,TCP,80,980,6
2024-01-15 08:01:05,192.168.1.36,10.0.0.5,TCP,443,1050,7
2024-01-15 08:01:07,192.168.1.37,10.0.0.9,UDP,53,160,2
2024-01-15 08:01:09,192.168.1.38,10.0.0.5,TCP,80,1300,9
2024-01-15 08:01:11,10.5.5.5,192.168.1.15,TCP,22,78000,380
2024-01-15 08:01:13,192.168.1.39,10.0.0.6,TCP,443,1100,7
2024-01-15 08:01:15,192.168.1.40,10.0.0.7,TCP,80,900,6
2024-01-15 08:01:17,192.168.1.41,10.0.0.8,UDP,53,200,2
2024-01-15 08:01:19,192.168.1.42,10.0.0.5,TCP,443,1250,8
2024-01-15 08:01:21,172.16.0.2,10.0.0.5,RAW,9090,180000,1200
2024-01-15 08:01:23,192.168.1.43,10.0.0.9,TCP,80,1050,7
2024-01-15 08:01:25,192.168.1.44,10.0.0.5,TCP,443,870,6
2024-01-15 08:01:27,192.168.1.45,10.0.0.6,TCP,80,1150,8
2024-01-15 08:01:29,10.5.5.5,192.168.1.20,TCP,22,92000,460
2024-01-15 08:01:31,192.168.1.46,10.0.0.7,UDP,53,170,2
2024-01-15 08:01:33,192.168.1.47,10.0.0.8,TCP,443,1300,9
2024-01-15 08:01:35,192.168.1.48,10.0.0.5,TCP,80,980,6
2024-01-15 08:01:37,192.168.1.49,10.0.0.9,TCP,443,1100,7
2024-01-15 08:01:39,192.168.1.50,10.0.0.5,TCP,80,1200,8
